food,characteristic,p_values
GROUP_SPECIAL_K_PLAIN_TOTAL_GRAMS,right_hand,2.2438256810066983e-4
GROUP_CORN_TOTAL_GRAMS,smoke_rarely,2.31303666998295e-4
CORNFLAKESTYPE,smoke_often,2.3352758008413695e-4
WHITE,smoke_often,2.3352758008416698e-4
VARIETYMEATQUAN,smoke_often,2.3352758008419265e-4
GROUP_ICE_TEA_HOME_NO_SUGAR_TOTAL_GRAMS,smoke_often,2.4046545385616726e-4
LEMONADEFREQ,yesCrash,2.4092480634480595e-4
GROUP_POPSICLES_SHERBET_ICES_JELLO_TOTAL_GRAMS,smoke_rarely,2.4142154424087192e-4
VEALLAMBGAMEQUAN,readingMath,2.539283736638897e-4
BAGELQUAN,smoke_often,3.192303320682299e-4
F18D3CN3,right_hand,3.299969278719089e-4
GROUP_SOY_MILK_TOTAL_GRAMS,right_hand,3.4238940303737785e-4
SHELLFISHQUAN,left_hand,3.528255463546609e-4
SOMEJUICEFREQ,yesCrash,3.53580132234186e-4
GROUP_SALAD_DRESSING_LOW_FAT_TOTAL_GRAMS,smoke_rarely,3.8651120859640363e-4
POPSICLESFREQ,smoke_rarely,3.946620314926798e-4
GROUP_YOGURT_PLAIN_FULL_FAT_TOTAL_GRAMS,Jewish,3.96221517068071e-4
GROUP_CANNED_FRUIT_APPLESAUCE_WITH_CANNED_CITRUS_TOTAL_GRAMS,Jewish,4.1227873784038636e-4
GROUP_SANDWICH_BUNS_MIX_TOTAL_GRAMS,quit_smoking,4.227255570161364e-4
F18D2TT,quit_smoking,4.324867084342014e-4
SUP_OM_6,right_hand,4.339071262952449e-4
PORKCHOPSFREQ,smoke_often,4.3543862475355137e-4
SAUCEICECREAMQUAN,heart_disease,4.515314520617554e-4
GROUP_CHEESEBURGER_MEAT_AND_CHEESE_TOTAL_GRAMS,smoke_rarely,4.72014758304928e-4
GROUP_DRINKS_WITH_SOME_JUICE_TOTAL_GRAMS,yesCrash,5.597215878224241e-4
F20D3N3,right_hand,6.776739797786344e-4
FRIEDORBREADEDFISHQUAN,Dems,7.352575937489557e-4
CAMD5,right_hand,7.716110990536311e-4
COOKIESTYPE,belly,9.34571166272391e-4
F20D3N3,currently_smoke,9.797022160943356e-4
GROUP_COOK_FAT_CANOLA_SAFFLOWER_OILS_TOTAL_GRAMS,Jewish,9.850282729357814e-4
SALSAFREQ,rash,0.0011616826196002648
CHEXOTHERTYPE,currently_smoke,0.0011735790231158928
LIFETYPE,currently_smoke,0.0011735790231158928
FLAXHEMPSEEDOILTYPE,currently_smoke,0.0011735790231158928
SUP_ALA,currently_smoke,0.0011735790231158939
GROUP_CHEX_OTHER_TOTAL_GRAMS,currently_smoke,0.0011735790231158939
GROUP_LIFE_TOTAL_GRAMS,currently_smoke,0.0011735790231158973
COOKINGFATLARD,currently_smoke,0.0011735790231158989
GROUP_COOK_FAT_ANIMAL_FAT_TOTAL_GRAMS,currently_smoke,0.0011735790231158989
FIBERONETYPE,currently_smoke,0.0011735790231159069
MILKONCEREALQUAN,currently_smoke,0.001173579023115909
SOMEJUICEQUAN,currently_smoke,0.001173579023115909
MINERALSYESORNO,currently_smoke,0.001173579023115909
GROUP_CAKE_LOW_FAT_TOTAL_GRAMS,belly,0.0011735790231159225
GROUP_COOK_FAT_OTHER_OIL_COCONUT_VARIOUS_NFS_VEGETABLE_OILS_TOTAL_GRAMS,belly,0.001173579023115936
FIBERONETYPE,belly,0.00117357902311594
COOKINGFATOTHER,belly,0.0011735790231159448
BEERQUAN,smoke_often,0.0012853402896531082
GROUP_SALAD_DRESSING_LOW_FAT_TOTAL_GRAMS,belly,0.0013231982932967463
GROUP_TORTILLAS_CORN_TOTAL_GRAMS,smoke_rarely,0.0013317362541569225
F18D3CN3,currently_smoke,0.0013613903104797854
SALTFREQ,favCable,0.0014022064226332138
SUP_OM_6,currently_smoke,0.0014239584046530944
GROUP_CHOCOLATE_MILK_COCOA_HOT_CHOCOLATE_TOTAL_GRAMS,right_hand,0.0014897790266641664
EXERGYMFREQ,currently_smoke,0.0015889892637132048
COFFEEDRINKSFREQ,cat,0.0016303467897390209
GROUP_TORTILLA_MIX_TOTAL_GRAMS,Jewish,0.0017264388435112694
GROUP_ICE_TEA_BOTTLE_NO_SUGAR_TOTAL_GRAMS,smoke_rarely,0.0017679588661971828
GROUP_LOW_CAL_KOOLAID_TOTAL_GRAMS,currently_smoke,0.0018158968565251438
SUP_B6,belly,0.0018669586000187445
ENERGYDRINKSQUAN,smoke_often,0.001884782679720167
VITAMINCYEARS,quit_smoking,0.0018922503850824603
GROUP_COFFEE_BOTH_KINDS_TOTAL_GRAMS,yesCrash,0.001893999873001612
GROUP_SOY_MILK_TOTAL_GRAMS,currently_smoke,0.0018962134711640341
TUNAQUAN,yesCrash,0.0019430559564770204
MEALREPLACEMENTDRINKSQUAN,rash,0.001999333798279527
PEACHESQUAN,rash,0.0019993337982795374
GROUP_OATMEAL_SQUARES_OAT_BRAN_TOTAL_GRAMS,Jewish,0.002029442424959086
GROUP_YOGURT_PLAIN_NON_FAT_TOTAL_GRAMS,diabetes,0.0020371906193289873
GROUP_SWEETS_TOTAL_GRAMS,diabetes,0.00224354306841384
V_REDOR_TOTAL,Jewish,0.0022547029653833687
PSVEGORN,Jewish,0.0022547029653833687
GROUP_CARROTS_CARROT_MIXES_TOTAL_GRAMS,smoke_often,0.0023565965472724785
GROUP_WHOLE_GRAIN_CRACKERS_LOW_FAT_TOTAL_GRAMS,ever_smoked,0.002388321696806178
GROUP_WHOLE_GRAIN_CRACKERS_LOW_FAT_TOTAL_GRAMS,never_smoked,0.002388321696806178
GROUP_CORN_BREAD_HUSH_PUPPIES_TOTAL_GRAMS,smoke_often,0.002394306036772055
GROUP_COFFEE_CAFFEINE_TOTAL_GRAMS,smoke_often,0.0025037691509320324
GROUP_RAISIN_BRAN_TOTAL_GRAMS,yesCrash,0.0025523267119869973
LEMONADEFREQ,smoke_often,0.002610385693142522
GROUP_LOW_CAL_KOOLAID_TOTAL_GRAMS,yesCrash,0.0028198661082840114
COFFEEQUAN,smoke_often,0.0028654585836300536
GROUP_STEAK_ROAST_FAT_OFF_TOTAL_GRAMS,atheist,0.0029670709545653647
GROUP_WALNUTS_FLAX_SEEDS_TOTAL_GRAMS,Jewish,0.002986519531122001
MILKFREQ,mathReading,0.0030243414737780427
LENTILSOUPQUAN,Dems,0.003046354662857209
WALNUTSFREQ,Jewish,0.0030557192945357037
GROUP_ICE_TEA_BOTTLE_NO_SUGAR_TOTAL_GRAMS,belly,0.003068978122281338
GROUP_COTTAGE_CHEESE_RICOTTA_TOTAL_GRAMS,quit_smoking,0.003082752464309379
FOLICACIDAMOUNT,quit_smoking,0.003308351508024421
FORMONONETIN,quit_smoking,0.003482485631389435
WINEQUAN,smoke_often,0.0035277375596450937
GROUP_STEAK_ROAST_FAT_ON_TOTAL_GRAMS,currently_smoke,0.0036875085299068076
STID7,right_hand,0.003747108378585678
HEAVYWORKFREQ,dog,0.0037645974143636677
BOTHKINDSCOFFEETYPE,yesCrash,0.0037657792941371477
GRANOLATYPE,Jewish,0.003767900152146259
TOMATOJUICEQUAN,currently_smoke,0.003779284710595718
OYSTERSFREQ,ever_smoked,0.003938199616855844
OYSTERSFREQ,never_smoked,0.003938199616855846
BUNSTYPE,rash,0.003947872301201894
TUNAQUAN,right_hand,0.003955680127544779
FOLICACIDYEARS,quit_smoking,0.004180792845749316
BISCUITFREQ,smoke_often,0.004232419574234924
GROUP_SUGARYBEVG_TOTAL_GRAMS,diabetes,0.004263791964052462
ICEDTEAFREQ,noCrash,0.004265397343692181
WHOLEGRAINCEREALFREQ,unfavCable,0.004314674269323821
GROUP_OATMEAL_WHOLEGRAIN_COOKED_CEREAL_TOTAL_GRAMS,unfavCable,0.004317164208818444
STID7,smoke_rarely,0.004326243378370933
COOKIESTYPE,smoke_rarely,0.004366209693986876
WALNUTSFREQ,mathReading,0.004401578877374542
COCKTAILSQUAN,currently_smoke,0.004430348006251709
CANNEDFRUITFREQ,cat,0.004440199804568208
DT_CAFFN,smoke_often,0.004448981014296884
MEALREPLACEMENTDRINKSQUAN,smoke_rarely,0.0045333024135966035
OATSQUARESTYPE,Jewish,0.0045333024135967275
SHREDDEDWHEATTYPE,smoke_often,0.0045333024135967405
BOTHKINDSCOFFEETYPE,Jewish,0.004533302413596769
ICEDTEAFREQ,dog,0.004582584187539845
BAGELTYPE,rash,0.004614106934561562
PCTALCH,currently_smoke,0.0046630199220679056
F24D1C,smoke_rarely,0.004685041976800559
SITSTR,smoke_rarely,0.0047575705424907815
PICKLESFREQ,Jewish,0.004859168841332529
VITAMINB6YEARS,Dems,0.004903839390679375
SLICEDCHEESEQUAN,smoke_often,0.004948326552779825
GROUP_CHEESEBURGER_MEAT_AND_CHEESE_TOTAL_GRAMS,currently_smoke,0.0049829033899867915
GROUP_LIQUOR_COCKTAILS_TOTAL_GRAMS,smoke_often,0.0049829913391096735
GROUP_BREAD_WHITE_TOTAL_GRAMS,right_hand,0.005082625266962449
GROUP_ALCOHOLICBEVERAGES_TOTAL_GRAMS,currently_smoke,0.005119507183000437
GROUP_REFRIED_BEANS_HUMMUS_TOTAL_GRAMS,belly,0.005154663820111445
GROUP_BEER_REGULAR_TOTAL_GRAMS,currently_smoke,0.00525086730080215
SHREDDEDWHEATTYPE,readingMath,0.005368051395901858
ENERGYDRINKSTYPE,smoke_rarely,0.005433000712299148
GROUP_CORN_PUFFS_TWISTS_SOY_POTATO_CHIPS_TOTAL_GRAMS,mathReading,0.005453342030931874
COOKIESTYPE,currently_smoke,0.0055819456992360844
HICQUAN,noCrash,0.005597351909417546
BRISKWALKFREQ,rash,0.005629194973594229
SUP_EPA,smoke_often,0.005630451623970183
SUP_DHA,smoke_often,0.0056305732300449855
OTHERNOODLESQUAN,readingMath,0.0057260151097059345
SITSTR,right_hand,0.005801690995943414
CAMD5,currently_smoke,0.006154319417898288
BAGELFREQ,rash,0.006197575504706882
GROUP_CORN_FLAKES_CORN_PUFFS_TOTAL_GRAMS,currently_smoke,0.00622028188698164
OTHERFRESHFRUITQUAN,left_hand,0.006254125996639297
RAWTOMATOESFREQ,Jewish,0.006280352186441039
GROUP_ICE_TEA_HOME_NO_SUGAR_TOTAL_GRAMS,yesCrash,0.006367566552335063
ZINCAMOUNT,smoke_often,0.006615492122646029
VITAMINCYEARS,atheist,0.006749602246942549
GROUP_PEANUTS_OTHER_NUTS_SEEDS_TOTAL_GRAMS,cancer,0.0068761908478565436
SALADDRESSINGSQUAN,smoke_often,0.00699149205390979
GROUP_WINE_RED_TOTAL_GRAMS,quit_smoking,0.007021402053196169
PF_LEGUMES,belly,0.0071094501769838605
V_LEGUMES,belly,0.007140402311254933
SPORTSDRINKSQUAN,mathReading,0.007217177179055364
GROUP_COFFEE_CAFFEINE_TOTAL_GRAMS,currently_smoke,0.007266749514048061
GROUP_SUGARYBEVG_TOTAL_KCAL,diabetes,0.007305412216917903
BANANASQUAN,readingMath,0.007319738383164373
EXERGYMFREQ,smoke_often,0.007358671723008675
GROUP_HI_C_CRANBERRY_JUICE_TANG_TOTAL_GRAMS,noCrash,0.007381610949052982
SUP_ZINC,atheist,0.007462494895834279
SUP_B12,belly,0.0076686699928239415
GROUP_SOLID_TOTAL_FREQUENCY,Jewish,0.007679941514109746
GROUP_YOGURT_PLAIN_LOW_FAT_TOTAL_GRAMS,yesCrash,0.0077212573619980735
HEAVYWORKTIME,dog,0.007722127175601032
OTHERCANDIESQUAN,mathReading,0.007761293872109511
GREENSALADQUAN,left_hand,0.007900994149503869
COOKEDGREENSQUAN,quit_smoking,0.00792935736630431
GROUP_OTHER_BEANS_LENTIL_CHILI_NOT_RICE_AND_BEANS_TOTAL_GRAMS,belly,0.007955586119292233
COOKEDGREENSQUAN,cancer,0.008161182445955945
SUP_OLEIC,smoke_often,0.00823307342103796
GROUP_SANDWICH_BUNS_MIX_TOTAL_GRAMS,never_smoked,0.008235863045867445
GROUP_SANDWICH_BUNS_MIX_TOTAL_GRAMS,ever_smoked,0.008235863045867448
MYRIC,mathReading,0.008240703521896996
SUP_ALA,left_hand,0.00825542997406426
SUP_LZ,yesCrash,0.00825542997406426
SUP_ALA,yesCrash,0.00825542997406426
GROUP_CHEX_OTHER_TOTAL_GRAMS,left_hand,0.008255429974064284
GROUP_CHEX_OTHER_TOTAL_GRAMS,yesCrash,0.008255429974064284
GROUP_COOK_FAT_MARGARINE_TUB_TOTAL_GRAMS,left_hand,0.008255429974064287
APPLEJACKSTYPE,left_hand,0.008255429974064381
COOKINGFATSOFTTUBMARG,left_hand,0.008255429974064381
CHEXOTHERTYPE,left_hand,0.00825542997406439
LIFETYPE,left_hand,0.00825542997406439
COOKINGFATLARD,left_hand,0.00825542997406439
FLAXHEMPSEEDOILTYPE,left_hand,0.00825542997406439
CHEXOTHERTYPE,yesCrash,0.00825542997406439
LIFETYPE,yesCrash,0.00825542997406439
COOKINGFATLOWFATMARG,yesCrash,0.00825542997406439
COOKINGFATLARD,yesCrash,0.00825542997406439
ANTIOXIDANTCOMBOYEARS,yesCrash,0.00825542997406439
FLAXHEMPSEEDOILTYPE,yesCrash,0.00825542997406439
GROUP_APPLE_JACKS_COOKIE_CRISP_TOTAL_GRAMS,left_hand,0.008255429974064412
GROUP_COOK_FAT_ANIMAL_FAT_TOTAL_GRAMS,left_hand,0.00825542997406447
GROUP_COOK_FAT_ANIMAL_FAT_TOTAL_GRAMS,yesCrash,0.00825542997406447
GROUP_LIFE_TOTAL_GRAMS,left_hand,0.008255429974064497
GROUP_LIFE_TOTAL_GRAMS,yesCrash,0.008255429974064497
GROUP_COOK_FAT_MARGARINE_LOW_FAT_TOTAL_GRAMS,yesCrash,0.008255429974064516
GROUP_WHOLE_GRAIN_CRACKERS_LOW_FAT_TOTAL_GRAMS,atheist,0.008262890428857361
TORTILLASQUAN,heart_disease,0.00831387738406757
SUP_VITD,atheist,0.008349236346813125
BEEFPORKDISHQUAN,right_hand,0.008352940343205148
GROUP_SOLID_COUNT,favCable,0.008434911139262516
WHOLEGRAINCRACKERSQUAN,dog,0.008465794321152109
LEMONADEQUAN,dog,0.008554860760498826
BIOCHANIN_A,quit_smoking,0.008605177887351613
V_OTHER,quit_smoking,0.008606766019835087
ICECREAMFREQ,Jewish,0.0086420036478134
MILKONCEREALFREQ,right_hand,0.008761146799168583
F18D3CN3,yesCrash,0.00884024783038982
GROUP_ALCOHOLICBEVERAGES_TOTAL_KCAL,currently_smoke,0.008850080320785512
PSVEGOTH,quit_smoking,0.008873029998804623
CARROTSQUAN,cancer,0.008877437643477058
GROUP_VEGETABLE_SOUP_TOTAL_GRAMS,quit_smoking,0.008921671603965464
BANANASQUAN,unfavCable,0.00894179651151793
FOLICACIDAMOUNT,atheist,0.00896632750748519
OTHERNOODLESQUAN,favCable,0.00897220920488278
A_BEV_KC,currently_smoke,0.0090085034351378
GROUP_BEER_REGULAR_TOTAL_GRAMS,smoke_rarely,0.009057236909558519
DT_ACARO,smoke_often,0.009091302928251896
PANCAKEQUAN,belly,0.00916994150392366
SUP_OM_3,currently_smoke,0.00918841025451651
GROUP_SPECIAL_K_PLAIN_TOTAL_GRAMS,left_hand,0.00919025506547157
SALADDRESSINGSFREQ,uhCrash,0.009218012695144178
VITAMINB6YEARS,belly,0.009246511991677885
F18D2TT,never_smoked,0.009282539652667605
F18D2TT,ever_smoked,0.009282539652667628
CHILDCARETIME,rash,0.009391369532214535
OTHERVEGGIESQUAN,quit_smoking,0.009439667817636326
ZINCAMOUNT,atheist,0.009521005361926895
REFRIEDBEANSQUAN,belly,0.009521700767676153
COFFEEQUAN,currently_smoke,0.009648019630881296
GROUP_CABBAGE_SLAW_CHINESE_CABBAGES_TOTAL_GRAMS,belly,0.009687290701441463
FIBERSUPPYEARS,Jewish,0.009839727552904565
GROUP_WINE_WHITE_TOTAL_GRAMS,Dems,0.009856392191388192
BREAKFASTSANDWICHQUAN,Dems,0.009856392191388279
PEACHESQUAN,Dems,0.009856392191388301
GROUP_COOKIES_LOW_FAT_TOTAL_GRAMS,yesCrash,0.009865280434281037
F18D3CN3,left_hand,0.009894463190793545
HICFREQ,noCrash,0.01022271998204585
OTHERNUTSFREQ,cancer,0.010319677717087451
GROUP_OTHER_FISH_DISHES_LOW_OMEGA3_TOTAL_GRAMS,dog,0.010392784648399789
GROUP_BROWN_RICE_DISHES_WITH_TOTAL_GRAMS,dog,0.010471981757465712
DONUTSQUAN,yesCrash,0.010489284815303151
PAC_1,mathReading,0.010561745750002481
SUP_OM_6,yesCrash,0.010565997656748169
SUP_OM_6,left_hand,0.01056599765674818
OTHERPIESQUAN,noCrash,0.010645744568563391
VITAMINB6AMOUNT,atheist,0.010776889685576994
KAEMF,belly,0.010984286208648181
GROUP_BAGELS_WHITE_TOTAL_GRAMS,currently_smoke,0.010993174478218189
PF_SEAFD_LOW,dog,0.011081300459577531
SUP_FOL,quit_smoking,0.011126174845065208
SODAFREQ,diabetes,0.01116202356453527
GROUP_BAGELS_WHITE_TOTAL_GRAMS,never_smoked,0.011216562774451726
GROUP_BAGELS_WHITE_TOTAL_GRAMS,ever_smoked,0.011216562774451735
LIGHTHOUSETIME,favCable,0.011285964622249867
GROUP_REFRIED_BEANS_HUMMUS_TOTAL_GRAMS,quit_smoking,0.011303664727687266
VIGMINS,Dems,0.01134303993156856
VITAMINCQUAN,Dems,0.011412175859056276
GROUP_A_SUGBEV_TOTAL_GRAMS,diabetes,0.0114343712295794
PF_MEAT,smoke_often,0.011472089253257168
QUERCE,mathReading,0.011586666695593592
TOCTRB,cancer,0.011599788414929618
GROUP_NON_FAT_SKIM_MILK_TOTAL_GRAMS,favCable,0.011618047776188498
USEVITSREGULARLY,atheist,0.011705404552552423
SUP_VK,readingMath,0.011727292802284081
YOGURTFREQ,currently_smoke,0.011757181153067345
COFFEEDRINKSQUAN,rash,0.01177553102307779
GROUP_BROCCOLI_BRUSSEL_SPROUTS_CHINESE_BROCCOLI_TOTAL_GRAMS,belly,0.011842548346894067
GROUP_LOW_CAL_KOOLAID_TOTAL_GRAMS,left_hand,0.01215947082888786
GROUP_OYSTERS_TOTAL_GRAMS,ever_smoked,0.012191606234430422
GROUP_OYSTERS_TOTAL_GRAMS,never_smoked,0.012191606234430422
COLDCEREALFREQ,right_hand,0.012249140952257005
COOKIESFREQ,currently_smoke,0.012396077452257086
GROUP_SOY_MILK_TOTAL_GRAMS,left_hand,0.012457342948360452
GROUP_SOY_MILK_TOTAL_GRAMS,yesCrash,0.012457342948360452
MN,mathReading,0.012493607282688573
ISORHMNTN,quit_smoking,0.012659913928047665
MAYOQUAN,left_hand,0.012676017290428807
MARGARINEQUAN,yesCrash,0.012678525260770665
VITAMINEQUAN,atheist,0.01276057950412135
GROUP_SALAD_DRESSING_LOW_FAT_TOTAL_GRAMS,currently_smoke,0.012791171952412275
HAMBURGERQUAN,unfavCable,0.012906032438675366
WINETYPE,heart_disease,0.01295249390241474
MILKONCEREALFREQ,uhCrash,0.013020973018917626
MAYOTYPE,diabetes,0.013058903060585282
VITAMINB12YEARS,belly,0.013168396644910589
POTATOESFREQ,cancer,0.013224098245618675
F20D3N3,left_hand,0.01332939779464558
ANTIOXIDANTCOMBOAMOUNT,yesCrash,0.013444402308401986
PASTRIESQUAN,left_hand,0.013491108023243747
APPLESFREQ,currently_smoke,0.01375301020147621
YOGURTKIND,ever_smoked,0.013889835950662429
YOGURTKIND,never_smoked,0.013889835950662429
T_FLAVONOLS,mathReading,0.013899000372569156
MAYOQUAN,right_hand,0.01399949887329418
COCKTAILSQUAN,smoke_often,0.01400354906036729
OTHERFISHQUAN,dog,0.01404234945637548
LIGHTHOUSETIME,readingMath,0.014177958493147064
OTHERCHICKENDISHQUAN,right_hand,0.014191409510222179
F18D2TT,rash,0.014270981810649425
REFRIEDBEANSQUAN,smoke_often,0.014281290113510777
A_DRINKS,currently_smoke,0.014335020433850697
GROUP_POULTRY_UNCOATED_NO_SKIN_TOTAL_GRAMS,readingMath,0.014352878599971168
YOGURTFREQ,never_smoked,0.014399335605140262
YOGURTFREQ,ever_smoked,0.014399335605140326
PF_LEGUMES,quit_smoking,0.014442156159903125
DT_ALCO,currently_smoke,0.014540293425352898
OTHERNUTSFREQ,atheist,0.014546882632824153
ENERGYDRINKSTYPE,currently_smoke,0.014574612057567653
BISCUITQUAN,dog,0.014633283511404365
PAC_2,mathReading,0.014665042860809054
BERRIESFREQ,unfavCable,0.014699131920783924
V_LEGUMES,quit_smoking,0.01471154842370384
OTHERNOODLESFREQ,yesCrash,0.01483341179041171
PSVEGOTH,never_smoked,0.014905383132556536
PSVEGOTH,ever_smoked,0.014905383132556543
GROUP_SODA_DIET_CAFFEINE_TOTAL_GRAMS,diabetes,0.014967155581030152
GROUP_CARROTS_CARROT_MIXES_TOTAL_GRAMS,cancer,0.014967896757152925
COFFEEQUAN,ever_smoked,0.015021024862189735
COFFEEQUAN,never_smoked,0.015021024862189735
GROUP_VEAL_LAMB_GOAT_GAME_TOTAL_GRAMS,favCable,0.015056384041789406
SLOWWALKFREQ,Dems,0.015080960228792554
GROUP_BAGELS_WHITE_TOTAL_GRAMS,unfavCable,0.015125881001590107
CAKESQUAN,left_hand,0.01533461044745543
EPICATEGC3G,dog,0.015394984036128108
TOMATOJUICEQUAN,smoke_often,0.015444682255836532
GROUP_SALAD_DRESSING_REGULAR_TOTAL_GRAMS,uhCrash,0.015459048871700373
ZINCYEARS,ever_smoked,0.015506336417767238
ZINCYEARS,never_smoked,0.015506336417767238
COOKINGFATCANOLA,heart_disease,0.015517517701477636
COFFEEFREQ,never_smoked,0.015596764575222745
COFFEEFREQ,ever_smoked,0.015596764575222756
GROUP_SUGARYBEVG_TOTAL_FREQUENCY,diabetes,0.015602732080869135
SODAQUAN,currently_smoke,0.015642789308877872
GALCATEGC,dog,0.015659792876175263
GROUP_OJ_GRAPEFRUIT_JUICE_NOT_CALCIUM_FORTIFIED_TOTAL_GRAMS,heart_disease,0.0157375177179842
GROUP_BEER_LIGHT_LOW_CARB_TOTAL_GRAMS,yesCrash,0.015800211348180916
GROUP_POPCORN_AIR_POP_FAT_FREE_TOTAL_GRAMS,atheist,0.015820147757731176
EGGROLLQUAN,heart_disease,0.015893412693684657
EXERGYMTIME,smoke_often,0.0159168764571588
GROUP_WHITE_RICE_DISHES_WITH_TOTAL_GRAMS,smoke_rarely,0.015982611752183254
GROUP_COFFEE_CAFFEINE_TOTAL_GRAMS,ever_smoked,0.015995308230986285
GROUP_COFFEE_CAFFEINE_TOTAL_GRAMS,never_smoked,0.0159953082309863
JOBWALKFREQ,smoke_often,0.016005984762073298
BUTTERFREQ,rash,0.01605245809898259
ICECREAMTYPE,unfavCable,0.016218196040738875
OTHERFRUITJUICESQUAN,cat,0.0162787108690892
OTHERBREADSTYPE,unfavCable,0.016303997128001162
ICEDTEAFREQ,atheist,0.01632249319591699
CHOLNFR,favCable,0.01638380665902635
CAMD5,yesCrash,0.01639825471530569
VITAMINEAMOUNT,atheist,0.016489106879945408
GROUP_BAGELS_WHITE_TOTAL_GRAMS,left_hand,0.016492119994486725
SWEETPOTATOESFREQ,mathReading,0.016562935169825176
SUCS,currently_smoke,0.01678669206527933
F18D1TN7,currently_smoke,0.016862505579442445
GROUP_PICKLES_SAUERKRAUT_KIMCHI_TOTAL_GRAMS,Jewish,0.01691906039678278
SUP_ZINC,smoke_often,0.017029450126428525
LEMONADEFREQ,uhCrash,0.017114697469019495
GREENSALADQUAN,right_hand,0.017206882007565705
GROUP_WHITE_POTATOES_NOT_FRIED_TOTAL_GRAMS,cancer,0.017404009139676647
COCOAFREQ,right_hand,0.01741659781144994
GROUP_CREAM_CHEESE_SOUR_CREAM_DIP_TOTAL_GRAMS,smoke_often,0.017442757879811064
BEEFPORKDISHQUAN,left_hand,0.017462680499085195
EPICATECG3,dog,0.017512776767769644
TORTILLASTYPE,dog,0.017527131664584146
ICEDTEAFREQ,heart_disease,0.017617436699161822
GROUP_ENERGY_DRINKS_SUGAR_TOTAL_GRAMS,left_hand,0.017718686407503997
CAKESQUAN,right_hand,0.017733868766592924
POTATOESQUAN,right_hand,0.017736437816395133
GROUP_ICE_TEA_HOME_SUGAR_TOTAL_GRAMS,quit_smoking,0.017808505089632033
CANNEDFRUITFREQ,Jewish,0.017820582170175504
TUNAQUAN,left_hand,0.017898743437837282
APPLESFREQ,smoke_often,0.018038833560306364
GROUP_FRIED_FISH_FISH_STICKS_SANDWICH_BREADED_FILLETS_TOTAL_GRAMS,Dems,0.018046004415268182
